iter	Passed	Remaining
186	1147	4987
187	1153	4980
188	1158	4972
189	1164	4964
190	1170	4956
191	1176	4950
192	1182	4943
193	1188	4935
194	1193	4925
195	1198	4917
196	1204	4908
197	1210	4901
198	1215	4893
199	1220	4883
200	1226	4876
201	1234	4875
202	1243	4880
203	1250	4878
204	1258	4879
205	1266	4880
206	1274	4882
207	1283	4887
208	1289	4878
209	1294	4871
210	1300	4863
211	1306	4855
212	1311	4847
213	1317	4839
214	1324	4835
215	1330	4829
216	1336	4823
217	1343	4817
218	1348	4810
219	1354	4801
220	1361	4798
221	1368	4795
222	1374	4790
223	1381	4786
224	1388	4780
225	1393	4772
226	1401	4772
227	1409	4773
228	1454	4898
229	1472	4928
230	1477	4919
231	1483	4911
232	1489	4903
233	1495	4894
234	1500	4885
235	1506	4877
236	1512	4867
237	1517	4856
238	1522	4848
239	1533	4856
240	1539	4849
241	1544	4837
242	1550	4829
243	1555	4820
244	1561	4812
245	1567	4803
246	1572	4794
247	1578	4785
248	1583	4777
249	1590	4770
250	1595	4761
251	1601	4754
252	1607	4746
253	1613	4738
254	1619	4731
255	1625	4723
256	1631	4715
257	1637	4708
258	1642	4700
259	1648	4691
260	1654	4684
261	1659	4675
262	1665	4667
263	1671	4660
264	1677	4652
265	1683	4645
266	1689	4637
267	1697	4635
268	1705	4633
269	1710	4624
270	1719	4625
271	1725	4617
272	1730	4609
273	1737	4603
274	1743	4595
275	1749	4588
276	1755	4581
277	1760	4572
278	1766	4564
279	1771	4555
280	1777	4547
281	1783	4540
282	1789	4534
283	1795	4526
284	1801	4518
285	1807	4511
286	1812	4503
287	1819	4497
288	1824	4489
289	1830	4481
290	1836	4474
291	1842	4467
292	1847	4458
293	1855	4455
294	1860	4447
295	1866	4439
296	1873	4433
297	1879	4427
298	1885	4420
299	1891	4414
300	1897	4406
301	1903	4399
302	1909	4391
303	1914	4384
304	1920	4377
305	1926	4369
306	1932	4362
307	1938	4354
308	1944	4349
309	1950	4342
310	1956	4333
311	1962	4326
312	1968	4319
313	1973	4312
314	1979	4305
315	1985	4298
316	1993	4294
317	2000	4289
318	2007	4285
319	2012	4277
320	2018	4269
321	2024	4262
322	2030	4256
323	2036	4249
324	2042	4242
325	2048	4235
326	2054	4228
327	2060	4220
328	2066	4214
329	2071	4205
330	2077	4199
331	2084	4193
332	2090	4186
333	2096	4179
334	2102	4172
335	2107	4165
336	2116	4163
337	2122	4157
338	2128	4149
339	2134	4143
340	2139	4135
341	2145	4128
342	2151	4121
343	2157	4114
344	2163	4107
345	2169	4099
346	2174	4092
347	2180	4085
348	2186	4078
349	2191	4070
350	2197	4063
351	2203	4056
352	2209	4049
353	2215	4042
354	2221	4035
355	2227	4029
356	2233	4023
357	2239	4015
358	2245	4009
359	2250	4001
360	2256	3994
361	2262	3988
362	2268	3980
363	2274	3974
364	2280	3967
365	2286	3960
366	2292	3953
367	2298	3946
368	2303	3939
369	2309	3932
370	2315	3925
371	2321	3918
372	2326	3911
373	2333	3905
374	2339	3898
375	2346	3894
376	2352	3887
377	2359	3883
378	2365	3875
379	2370	3866
380	2376	3861
381	2382	3854
382	2388	3848
383	2394	3841
384	2400	3833
385	2406	3827
386	2412	3820
387	2417	3812
388	2423	3806
389	2429	3799
390	2435	3792
391	2440	3785
392	2447	3779
393	2452	3772
394	2458	3764
395	2463	3758
396	2469	3751
397	2475	3744
398	2481	3737
399	2487	3730
400	2493	3724
401	2499	3717
402	2505	3711
403	2511	3704
404	2516	3697
405	2523	3691
406	2529	3685
407	2535	3678
408	2540	3671
409	2546	3664
410	2552	3657
411	2558	3651
412	2564	3644
413	2571	3639
414	2576	3632
415	2583	3626
416	2588	3619
417	2594	3612
418	2600	3605
419	2605	3598
420	2610	3590
421	2617	3584
422	2623	3578
423	2629	3571
424	2635	3565
425	2641	3559
426	2646	3551
427	2652	3545
428	2658	3538
429	2664	3531
430	2670	3525
431	2675	3518
432	2681	3511
433	2687	3504
434	2693	3498
435	2698	3490
436	2704	3484
437	2709	3476
438	2715	3470
439	2721	3463
440	2727	3457
441	2733	3450
442	2739	3444
443	2745	3437
444	2751	3431
445	2756	3424
446	2762	3417
447	2768	3411
448	2774	3405
449	2780	3398
450	2786	3391
451	2791	3384
452	2797	3378
453	2803	3371
454	2809	3365
455	2815	3358
456	2821	3352
457	2827	3346
458	2833	3339
459	2839	3333
460	2846	3327
461	2852	3322
462	2857	3314
463	2864	3309
464	2870	3303
465	2877	3296
466	2882	3290
467	2888	3283
468	2894	3277
469	2900	3270
470	2906	3264
471	2912	3258
472	2918	3251
473	2924	3245
474	2930	3238
475	2936	3232
476	2942	3226
477	2948	3219
478	2954	3213
479	2959	3206
480	2965	3200
481	2971	3193
482	2977	3186
483	2983	3180
484	2989	3174
485	2994	3167
486	3000	3160
487	3006	3154
488	3011	3147
489	3017	3140
490	3023	3134
491	3029	3127
492	3035	3121
493	3041	3114
494	3046	3107
495	3052	3101
496	3058	3095
497	3064	3088
498	3070	3082
499	3075	3075
500	3081	3069
501	3087	3062
502	3093	3056
503	3102	3053
504	3109	3047
505	3115	3041
506	3121	3035
507	3127	3029
508	3133	3022
509	3139	3016
510	3145	3009
511	3151	3003
512	3156	2996
513	3162	2990
514	3168	2983
515	3174	2977
516	3179	2970
517	3185	2964
518	3191	2957
519	3197	2951
520	3202	2944
521	3208	2937
522	3214	2931
523	3219	2924
524	3226	2918
525	3232	2912
526	3237	2906
527	3243	2899
528	3249	2893
529	3255	2887
530	3262	2881
531	3271	2877
532	3279	2873
533	3287	2869
534	3295	2864
535	3304	2860
536	3310	2854
537	3318	2850
538	3326	2844
539	3336	2842
540	3343	2836
541	3351	2831
542	3359	2827
543	3368	2823
544	3375	2818
545	3383	2813
546	3391	2808
547	3400	2804
548	3408	2799
549	3416	2795
550	3424	2790
551	3432	2786
552	3438	2779
553	3444	2772
554	3449	2766
555	3456	2759
556	3461	2753
557	3467	2746
558	3474	2740
559	3479	2734
560	3485	2727
561	3491	2721
562	3497	2714
563	3503	2708
564	3508	2701
565	3515	2695
566	3520	2688
567	3526	2682
568	3533	2676
569	3539	2669
570	3545	2663
571	3551	2657
572	3557	2650
573	3563	2644
574	3569	2637
575	3575	2631
576	3581	2625
577	3587	2619
578	3592	2612
579	3599	2606
580	3604	2599
581	3611	2593
582	3616	2586
583	3622	2580
584	3628	2574
585	3633	2566
586	3639	2560
587	3645	2554
588	3651	2548
589	3657	2541
590	3663	2535
591	3669	2528
592	3674	2522
593	3680	2515
594	3686	2509
595	3692	2502
596	3698	2496
597	3704	2490
598	3710	2484
599	3716	2477
600	3722	2471
601	3728	2465
602	3734	2458
603	3741	2452
604	3746	2446
605	3753	2440
606	3759	2433
607	3765	2427
608	3770	2420
609	3776	2414
610	3782	2408
611	3788	2402
612	3794	2395
613	3800	2389
614	3806	2382
615	3811	2376
616	3818	2370
617	3825	2364
618	3831	2358
619	3838	2352
620	3846	2347
621	3852	2341
622	3858	2335
623	3864	2328
624	3870	2322
625	3876	2315
626	3882	2309
627	3887	2302
628	3893	2296
629	3900	2290
630	3905	2284
631	3911	2277
632	3917	2271
633	3923	2265
634	3929	2258
635	3935	2252
636	3940	2245
637	3948	2240
638	3954	2234
639	3960	2227
640	3966	2221
641	3972	2215
642	3979	2209
643	3985	2202
644	3993	2197
645	4001	2192
646	4007	2186
647	4013	2179
648	4019	2173
649	4025	2167
650	4030	2160
651	4037	2154
652	4042	2148
653	4048	2141
654	4054	2135
655	4061	2129
656	4066	2123
657	4072	2116
658	4078	2110
659	4087	2105
660	4093	2099
661	4099	2093
662	4105	2086
663	4111	2080
664	4117	2074
665	4124	2068
666	4130	2061
667	4136	2055
668	4141	2049
669	4147	2042
670	4153	2036
671	4159	2030
672	4165	2023
673	4170	2017
674	4176	2011
675	4182	2004
676	4188	1998
677	4194	1991
678	4200	1985
679	4206	1979
680	4212	1973
681	4218	1966
682	4224	1960
683	4230	1954
684	4236	1948
685	4242	1941
686	4248	1935
687	4254	1929
688	4260	1922
689	4265	1916
690	4271	1910
691	4277	1903
692	4285	1898
693	4293	1893
694	4300	1887
695	4306	1881
696	4312	1874
697	4319	1868
698	4326	1863
699	4334	1857
700	4344	1853
701	4350	1846
702	4356	1840
703	4362	1834
704	4368	1828
705	4374	1821
706	4381	1815
707	4388	1809
708	4396	1804
709	4404	1798
710	4410	1792
711	4415	1786
712	4421	1779
713	4427	1773
714	4437	1768
715	4442	1762
716	4449	1756
717	4454	1749
718	4461	1743
719	4467	1737
720	4472	1730
721	4478	1724
722	4485	1718
723	4490	1711
724	4497	1705
725	4502	1699
726	4508	1693
727	4514	1686
728	4520	1680
729	4525	1673
730	4531	1667
731	4538	1661
732	4543	1655
733	4550	1649
734	4555	1642
735	4561	1636
736	4567	1629
737	4573	1623
738	4579	1617
739	4586	1611
740	4592	1605
741	4598	1598
742	4604	1592
743	4610	1586
744	4616	1580
745	4622	1573
746	4629	1568
747	4635	1561
748	4642	1555
749	4648	1549
750	4654	1543
751	4660	1537
752	4666	1530
753	4672	1524
754	4678	1518
755	4684	1511
756	4690	1505
757	4697	1499
758	4703	1493
759	4709	1487
760	4714	1480
761	4720	1474
762	4726	1468
763	4732	1461
764	4738	1455
765	4744	1449
766	4750	1443
767	4756	1436
768	4762	1430
769	4768	1424
770	4773	1417
771	4778	1411
772	4785	1405
773	4791	1398
774	4797	1392
775	4802	1386
776	4808	1380
777	4816	1374
778	4823	1368
779	4829	1362
780	4835	1355
781	4842	1349
782	4848	1343
783	4854	1337
784	4860	1331
785	4866	1325
786	4872	1318
787	4878	1312
788	4884	1306
789	4890	1299
790	4896	1293
791	4902	1287
792	4908	1281
793	4914	1275
794	4920	1268
795	4927	1262
796	4933	1256
797	4939	1250
798	4945	1244
799	4952	1238
800	4957	1231
801	4963	1225
802	4969	1219
803	4974	1212
804	4980	1206
805	4986	1200
806	4992	1194
807	4999	1187
808	5004	1181
809	5011	1175
810	5017	1169
811	5023	1163
812	5029	1156
813	5035	1150
814	5041	1144
815	5047	1138
816	5053	1131
817	5059	1125
818	5065	1119
819	5074	1113
820	5080	1107
821	5086	1101
822	5092	1095
823	5098	1089
824	5104	1082
825	5110	1076
826	5116	1070
827	5122	1064
828	5129	1058
829	5134	1051
830	5141	1045
831	5147	1039
832	5153	1033
833	5159	1026
834	5165	1020
835	5171	1014
836	5177	1008
837	5183	1002
838	5189	995
839	5195	989
840	5202	983
841	5208	977
842	5213	971
843	5219	964
844	5226	958
845	5231	952
846	5238	946
847	5244	939
848	5249	933
849	5255	927
850	5261	921
851	5267	915
852	5273	908
853	5279	902
854	5285	896
855	5291	890
856	5297	883
857	5304	877
858	5309	871
859	5316	865
860	5322	859
861	5327	852
862	5334	846
863	5339	840
864	5345	834
865	5351	828
866	5358	821
867	5363	815
868	5369	809
869	5375	803
870	5381	797
871	5387	790
872	5393	784
873	5399	778
874	5405	772
875	5410	765
876	5416	759
877	5422	753
878	5428	747
879	5434	741
880	5440	734
881	5446	728
882	5452	722
883	5458	716
884	5464	710
885	5470	703
886	5476	697
887	5482	691
888	5488	685
889	5494	679
890	5500	672
891	5505	666
892	5511	660
893	5517	654
894	5523	648
895	5530	641
896	5536	635
897	5542	629
898	5548	623
899	5553	617
900	5559	610
901	5565	604
902	5571	598
903	5577	592
904	5583	586
905	5589	579
906	5595	573
907	5601	567
908	5607	561
909	5614	555
910	5620	549
911	5626	542
912	5632	536
913	5638	530
914	5644	524
915	5651	518
916	5656	511
917	5662	505
918	5667	499
919	5674	493
920	5680	487
921	5686	481
922	5692	474
923	5699	468
924	5705	462
925	5711	456
926	5717	450
927	5723	444
928	5729	437
929	5735	431
930	5741	425
931	5747	419
932	5754	413
933	5760	407
934	5766	400
935	5772	394
936	5778	388
937	5785	382
938	5791	376
939	5798	370
940	5805	364
941	5812	357
942	5818	351
943	5825	345
944	5832	339
945	5838	333
946	5844	327
947	5851	320
948	5857	314
949	5862	308
950	5867	302
951	5873	296
952	5878	289
953	5886	283
954	5891	277
955	5897	271
956	5904	265
957	5909	259
958	5916	252
959	5921	246
960	5928	240
961	5934	234
962	5940	228
963	5947	222
964	5952	215
965	5958	209
966	5965	203
967	5970	197
968	5976	191
969	5982	185
970	5987	178
971	5993	172
972	5999	166
973	6005	160
974	6011	154
975	6017	147
976	6023	141
977	6029	135
978	6035	129
979	6040	123
980	6046	117
981	6051	110
982	6059	104
983	6066	98
984	6073	92
985	6079	86
986	6085	80
987	6091	73
988	6096	67
989	6102	61
990	6109	55
991	6115	49
992	6121	43
993	6128	36
994	6134	30
995	6140	24
996	6146	18
997	6151	12
998	6157	6
999	6163	0
