iter	Logloss
0	0.6899734304
1	0.6838894882
2	0.6790122436
3	0.6741857733
4	0.6708891257
5	0.6671471024
6	0.6632225336
7	0.6599788566
8	0.6559573417
9	0.6526619395
10	0.6497498143
11	0.6451331579
12	0.6414150006
13	0.6377423681
14	0.6341363062
15	0.6304913573
16	0.627388574
17	0.6227854371
18	0.6190695101
19	0.6148350671
20	0.61200343
21	0.609141024
22	0.6052982829
23	0.6022000207
24	0.5984418098
25	0.5947662162
26	0.5905432075
27	0.5869213248
28	0.5839403159
29	0.5802491735
30	0.5772507359
31	0.5748659145
32	0.5730623189
33	0.569570303
34	0.5659610046
35	0.5625634561
36	0.5599858912
37	0.5570642435
38	0.5539006666
39	0.5509534519
40	0.5483647518
41	0.5451160245
42	0.5430203809
43	0.540250972
44	0.5380166225
45	0.5350112102
46	0.5325476671
47	0.5302219008
48	0.5276734936
49	0.5247590447
50	0.5228657333
51	0.5204097404
52	0.5179329958
53	0.5159415399
54	0.5137103289
55	0.5118289703
56	0.5089173123
57	0.5068794908
58	0.5042951127
59	0.5016184901
60	0.4994412823
61	0.4966124377
62	0.4938229373
63	0.4922141282
64	0.4901970719
65	0.4883846547
66	0.4861733212
67	0.4849096004
68	0.4830675547
69	0.4817671184
70	0.4801145277
71	0.4777920334
72	0.4758161459
73	0.4735165029
74	0.4716029683
75	0.4690764125
76	0.4676887602
77	0.4657718207
78	0.4644926158
79	0.4626117759
80	0.4609377684
81	0.4595312807
82	0.4584997394
83	0.4571566058
84	0.4557256968
85	0.4543591238
86	0.4530037723
87	0.4501272171
88	0.4485657877
89	0.4467384177
90	0.4453078397
91	0.4435892569
92	0.4419202967
93	0.4399289713
94	0.4384179606
95	0.4370699657
96	0.4354049912
97	0.4344440524
98	0.4333850551
99	0.4314842773
100	0.4297971476
101	0.428286138
102	0.4269599015
103	0.4254881767
104	0.424657131
105	0.4230131835
106	0.4213531416
107	0.4199291868
108	0.4182660454
109	0.4159757556
110	0.4143092914
111	0.4131021982
112	0.4118358201
113	0.4105117359
114	0.4091125525
115	0.4081152217
116	0.4074174266
117	0.4059899694
118	0.4051906734
119	0.4033395284
120	0.4020735443
121	0.4006665006
122	0.3993305818
123	0.3977501484
124	0.3967961974
125	0.3954614037
126	0.3938077389
127	0.3922492178
128	0.3915847856
129	0.3905223039
130	0.3898021895
131	0.3885356625
132	0.3871348272
133	0.3855982358
134	0.3840213201
135	0.3828885434
136	0.3822558976
137	0.3810157804
138	0.3801971731
139	0.3790346631
140	0.3782295214
141	0.3770747603
142	0.3763747019
143	0.375625884
144	0.3748535461
145	0.3738692142
146	0.3721534157
147	0.3707978039
148	0.3695690669
149	0.3686869193
150	0.3674189579
151	0.3662463405
152	0.3653941287
153	0.3645388014
154	0.3626811045
155	0.3609744921
